code,name,net_shares,net_amount
4906,正文,6648,263565.0
2337,旺宏,410,52017.0
3062,建漢,402,13101.0
1582,信錦,200,21610.0
2313,華通,195,52043.0
8096,擎亞,188,17359.0
2308,台達電,164,238375.0
6290,良維,153,30547.0
,期元大S&P黃金正2,125,12439.0
6147,頎邦,105,7863.0
2408,南亞科,93,19649.0
3693,營邦,76,39125.0
,元大台灣50反1,63,899.0
7822,倍利科,53,81506.0
,富邦NASDAQ反1,40,121.0
,群益臺灣加權反1,40,56.0
3167,大量,40,16136.0
,元大S&P500反1,30,138.0
2345,智邦,30,48825.0
3081,聯亞,30,51735.0
1304,台聚,29,489.0
6877,鏵友益,27,3071.0
3234,光環,25,2170.0
,主動復華未來50,25,313.0
,元大台灣50正2,25,516.0
3037,欣興,-187,-90319.0
0050,元大台灣50,-184,-13844.0
6285,啟碁,-138,-25215.0
2409,友達,-110,-1658.0
,凱基金乙特,-100,-815.0
2399,映泰,-90,-2938.0
3030,德律,-61,-16053.0
2332,友訊,-60,-931.0
3105,穩懋,-60,-22405.0
2344,華邦電,-52,-5356.0
00891,中信關鍵半導體,-41,-989.0
2441,超豐,-39,-3441.0
4768,晶呈科技,-35,-15394.0
6163,華電網,-31,-1931.0
2467,志聖,-30,-12021.0
00940,元大台灣價值高息,-30,-288.0
3714,富采,-29,-1417.0
00955,中信日本商社,-21,-336.0
7721,微程式,-20,-1600.0
3289,宜特,-20,-2678.0
2349,錸德,-20,-263.0
4991,環宇-KY,-20,-8273.0
3443,創意,-19,-45240.0
2855,統一證,-16,-520.0
3017,奇鋐,-15,-32536.0
