code,name,weight,shares
2441,超豐,2.45,8418000
3264,欣銓,3.55,7184000
6257,矽格,2.66,6511000
1785,光洋科,0.91,4656000
3036,文曄,2.59,4587000
2316,楠梓電,1.3,4241000
2606,裕民,0.84,4200000
2421,建準,1.49,3282000
2428,興勤,1.83,3138000
4958,臻鼎-KY,1.78,2691000
2449,京元電子,2.6,2557000
5536,聖暉*,5.17,2470000
6139,亞翔,3.68,2170000
5439,高技,1.85,1979000
5425,台半,0.35,1770000
9938,百和,0.24,1461000
2330,台積電,8.94,1457000
3231,緯創,0.51,1255000
2472,立隆電,0.46,1223000
6177,達麗,0.18,1200350
6274,台燿,2.07,1179000
2885,元大金,0.17,1117420
2481,強茂,0.28,1028000
2360,致茂,3.31,866000
8299,群聯,5.52,854000
8358,金居,0.73,781000
2345,智邦,3.2,729000
2308,台達電,3.02,699000
8210,勤誠,1.56,573000
3324,雙鴻,1.81,553000
3491,昇達科,2.65,547000
3017,奇鋐,2.63,544000
2451,創見,0.33,464000
2383,台光電,3.33,462000
2454,聯發科,2.56,449000
3665,貿聯-KY,1.77,438136
6669,緯穎,5.09,425000
2327,國巨*,0.39,415000
8996,高力,1.1,378000
2404,漢唐,1.14,373000
3376,新日興,0.23,360000
1319,東陽,0.11,360000
3711,日月光投控,0.42,356000
6805,富世達,1.36,295000
5289,宜鼎,0.74,292000
6223,旺矽,2.32,280000
7769,鴻勁,3.78,263000
3008,大立光,1.29,170000
2368,金像電,0.41,157000
8464,億豐,0.18,144000
8046,南電,0.16,104000
6446,藥華藥,0.23,100583
4441,振大環球,0.05,60000
2059,川湖,0.54,55000
6768,志強-KY,0.01,41000
2548,華固,0.01,29600
3529,力旺,0.17,23000
5274,信驊,0.18,6000
3706,神達,0.0,1400
3443,創意,0.01,1000
2886,兆豐金,0.0,1000
7722,LINEPAY,0.0,1000
1519,華城,0.0,600
2881,富邦金,0.0,250
