code,name,net_shares,net_amount
6163,華電網,498,30813.0
6664,群翊,393,126479.0
009811,統一美國50,319,3515.0
6509,聚和,181,8369.0
2409,友達,144,2284.0
3236,千如,110,3520.0
2344,華邦電,108,10205.0
8111,立碁,108,6770.0
3017,奇鋐,104,221263.0
00882,中信中國高股息,99,1534.0
2313,華通,93,24474.0
6126,信音,91,2776.0
3685,元創精密,85,2488.0
2327,國巨*,85,21387.0
6770,力積電,80,4407.0
5243,乙盛-KY,81,7187.0
6274,台燿,76,46630.0
7721,微程式,73,5599.0
6257,矽格,65,10145.0
00927,群益半導體收益,62,1509.0
6265,方土昶,60,2259.0
3481,群創,56,1455.0
8358,金居,53,13864.0
3265,台星科,51,7406.0
4707,磐亞,50,568.0
3715,定穎投控,-935,-167451.0
1304,台聚,-728,-12430.0
,群益ESG投等債20+,-347,-5169.0
2337,旺宏,-253,-31730.0
6127,九豪,-234,-10669.0
6147,頎邦,-212,-15791.0
1906,寶隆,-180,-2310.0
009817,國泰日本不動產,-179,-1679.0
,主動復華未來50,-164,-2035.0
1303,南亞,-162,-13526.0
009816,凱基台灣TOP50,-141,-1482.0
3105,穩懋,-127,-47471.0
,富邦上証反1,-120,-395.0
3663,鑫科,-103,-7080.0
00919,群益台灣精選高息,-102,-2289.0
3231,緯創,-59,-7445.0
2461,光群雷,-58,-1040.0
,國泰20年美債,-57,-1622.0
00830,國泰費城半導體,-57,-3061.0
,主動統一台股增長,-56,-1156.0
,元大台灣50正2,-56,-1126.0
2408,南亞科,-54,-11469.0
3605,宏致,-50,-2816.0
8011,台通,-50,-1033.0
,主動統一全球創新,-50,-620.0
