code,name,weight,shares,price
RIVN,RIVIAN AUTOMOTIVE INC-A,1.47,33097,0.0
NU,NU HOLDINGS LTD/CAYMAN ISL-A,0.88,24407,0.0
INTC,INTEL CORP,3.46,13714,0.0
WRBY,WARBY PARKER INC-CLASS A,0.73,10140,0.0
FIGR,FIGURE TECHNOLOGY SOLUT-CL A,0.79,9813,0.0
HOOD,ROBINHOOD MARKETS INC - A,2.44,8842,0.0
GFS,GLOBALFOUNDRIES INC,1.25,8259,0.0
ZM,ZOOM COMMUNICATIONS INC,1.88,7780,0.0
ON,ON SEMICONDUCTOR,1.71,7469,0.0
NVDA,NVIDIA CORP,3.81,7055,0.0
TEM,TEMPUS AI INC,0.95,6837,0.0
AMKR,AMKOR TECHNOLOGY INC,1.04,6316,0.0
TTWO,TAKE-TWO INTERACTIVE SOFTWRE,3.76,6028,0.0
LMND,LEMONADE INC,1.01,5998,0.0
CRWD,CROWDSTRIKE HOLDINGS INC - A,3.12,5887,0.0
ALGM,ALLEGRO MICROSYSTEMS INC,0.69,5610,0.0
GOOG,ALPHABET INC-CL C,4.46,4839,0.0
PANW,PALO ALTO NETWORKS INC,4.23,4595,0.0
GLW,CORNING INC,1.89,4589,0.0
DOCN,DIGITALOCEAN HOLDINGS INC,1.4,4588,0.0
SHOP,SHOPIFY INC - CLASS A,1.41,4346,0.0
TWLO,TWILIO INC - A,2.21,4108,0.0
AVGO,BROADCOM INC,3.84,3945,0.0
SNOW,SNOWFLAKE INC-CLASS A,2.65,3776,0.0
ORCL,ORACLE CORP,1.2,3706,0.0
XYZ,BLOCK INC,0.78,3678,0.0
LRCX,LAM RESEARCH CORP,3.04,3643,0.0
NET,CLOUDFLARE INC - CLASS A,2.57,3630,0.0
SYM,SYMBOTIC INC,0.37,3346,0.0
ENTG,ENTEGRIS INC,1.16,3318,0.0
TSLA,TESLA INC,3.23,3175,0.0
CRM,SALESFORCE INC,1.26,2812,0.0
AMD,ADVANCED MICRO DEVICES,3.57,2737,0.0
BE,BLOOM ENERGY CORP- A,1.32,2455,0.0
MXL,MAXLINEAR INC,0.43,2197,0.0
TXN,TEXAS INSTRUMENTS INC,1.59,2103,0.0
SPCX,SPACE EXPLORATION TECHN-CL A,0.69,2027,0.0
CIEN,CIENA CORP,1.9,1879,0.0
MSFT,MICROSOFT CORP,1.94,1859,0.0
CRCL,CIRCLE INTERNET GROUP INC,0.29,1826,0.0
TSM,TAIWAN SEMICONDUCTOR-SP ADR,1.91,1788,0.0
TTMI,TTM TECHNOLOGIES,0.6,1780,0.0
VICR,VICOR CORP,1.02,1704,0.0
META,META PLATFORMS INC-CLASS A,2.86,1653,0.0
WOLF,WOLFSPEED INC,0.12,1522,0.0
MTSI,MACOM TECHNOLOGY SOLUTIONS H,0.99,1381,0.0
PLTR,PALANTIR TECHNOLOGIES INC-A,0.47,1330,0.0
ENPH,ENPHASE ENERGY INC,0.14,1314,0.0
AMZN,AMAZON.COM INC,0.75,1154,0.0
ADI,ANALOG DEVICES INC,1.1,1108,0.0
CDNS,CADENCE DESIGN SYS INC,1.03,1090,0.0
APP,APPLOVIN CORP-CLASS A,1.04,924,0.0
ROK,ROCKWELL AUTOMATION INC,0.92,753,0.0
LITE,LUMENTUM HOLDINGS INC,1.37,747,0.0
MU,MICRON TECHNOLOGY INC,1.65,741,0.0
ASML,ASML HOLDING NV-NY REG SHS,3.23,695,0.0
FN,FABRINET,0.63,525,0.0
AMAT,APPLIED MATERIALS INC,0.68,468,0.0
CBRS,CEREBRAS SYSTEMS INC - A,0.16,350,0.0
SNDK,SANDISK CORP-W/I,0.99,269,0.0
