code,name,net_shares,net_amount
,元大台灣50正2,144,2932.0
00888,永豐台灣ESG,100,2260.0
0056,元大高股息,58,2232.0
2303,聯電,31,1655.0
009816,凱基台灣TOP50,30,318.0
0050,元大台灣50,29,2144.0
3481,群創,29,724.0
00919,群益台灣精選高息,28,639.0
2492,華新科,23,2675.0
,主動復華未來50,22,275.0
2344,華邦電,21,1955.0
2820,華票,20,337.0
3434,哲固,19,544.0
1314,中石化,19,155.0
2104,國際中橡,17,208.0
6213,聯茂,16,2688.0
2367,燿華,16,1179.0
,富邦NASDAQ反1,15,46.0
00918,大華優利高填息30,13,300.0
1303,南亞,12,966.0
2406,國碩,12,370.0
,中信中國50正2,11,112.0
9945,潤泰新,10,256.0
00927,群益半導體收益,10,240.0
1536,和大,10,482.0
2409,友達,-872,-14926.0
,主動統一台股增長,-123,-2447.0
,群益ESG投等債20+,-52,-773.0
1528,恩德,-39,-1105.0
6443,元晶,-32,-1271.0
009802,富邦旗艦50,-20,-247.0
2002,中鋼,-19,-372.0
3037,欣興,-18,-9784.0
3221,台嘉碩,-18,-655.0
,國泰投資級公司債,-18,-638.0
2027,大成鋼,-14,-547.0
2327,國巨*,-14,-3578.0
2243,宏旭-KY,-12,-264.0
4927,泰鼎-KY,-12,-492.0
6190,萬泰科,-11,-587.0
1304,台聚,-10,-185.0
3019,亞光,-10,-1205.0
1417,嘉裕,-10,-91.0
6147,頎邦,-10,-836.0
,元大AAA至A公司債,-10,-319.0
2887,台新新光金,-10,-245.0
8027,鈦昇,-9,-1398.0
5498,凱崴,-9,-519.0
2312,金寶,-9,-200.0
,期街口道瓊銅,-9,-272.0
