code,name,net_shares,net_amount
8489,三貝德,366,9368.0
1802,台玻,56,3047.0
6257,矽格,35,5521.0
,元大台灣50反1,35,502.0
5483,中美晶,22,2355.0
,元大美債20年,20,547.0
,群益優選非投等債,20,194.0
2330,台積電,20,35892.0
1409,新纖,15,236.0
6127,九豪,13,584.0
3205,佰研,12,756.0
3481,群創,11,280.0
,期元大S&P原油反1,10,180.0
1528,恩德,10,268.0
6770,力積電,8,458.0
3715,定穎投控,8,1443.0
4741,泓瀚,7,285.0
1909,榮成,7,71.0
6282,康舒,7,319.0
2484,希華,6,172.0
6443,元晶,5,212.0
9904,寶成,5,144.0
2006,東和鋼鐵,5,343.0
3029,零壹,5,481.0
3376,新日興,5,983.0
8426,紅木-KY,-100,-2594.0
,主動統一台股增長,-69,-1404.0
009816,凱基台灣TOP50,-53,-555.0
0050,元大台灣50,-44,-3327.0
,主動復華未來50,-35,-435.0
,主動兆豐台灣豐收,-34,-339.0
0056,元大高股息,-34,-1290.0
1303,南亞,-33,-2600.0
2002,中鋼,-28,-541.0
1808,潤隆,-20,-614.0
4958,臻鼎-KY,-19,-4143.0
,元大台灣50正2,-17,-348.0
,中信優息投資級債,-13,-124.0
2313,華通,-13,-3480.0
00882,中信中國高股息,-12,-186.0
,元大美債20正2,-11,-79.0
2885,元大金,-10,-468.0
00929,復華台灣科技優息,-10,-190.0
2352,佳世達,-10,-234.0
,期街口布蘭特正2,-10,-588.0
,凱基美國非投等債,-9,-131.0
2374,佳能,-9,-613.0
7780,大研生醫*,-9,-186.0
2367,燿華,-9,-683.0
2337,旺宏,-8,-1059.0
