code,name,weight,shares,price
2887,台新新光金,2.02,75624000,24.65
2883,凱基金,1.21,52398000,21.3
2890,永豐金,1.58,44125000,33.1
2885,元大金,2.06,39708000,47.95
2891,中信金,2.13,36000000,54.8
2880,華南金,1.23,32833000,34.6
2882,國泰金,1.95,24539000,73.6
2317,鴻海,4.87,22500000,200.0
2330,台積電,42.69,20194000,1955.0
2884,玉山金,0.66,18604000,32.6
2892,第一金,0.43,13794000,29.1
2886,兆豐金,0.59,13792000,39.75
2303,聯電,0.89,13655000,60.0
5880,合庫金,0.35,13459000,24.05
2881,富邦金,1.1,11500000,88.5
1303,南亞,0.6,6543000,85.2
2412,中華電,0.86,5900000,135.0
1216,統一,0.44,5651000,72.0
3037,欣興,2.81,4162000,625.0
2308,台達電,7.24,4072000,1645.0
3711,日月光投控,1.63,3842000,392.0
3231,緯創,0.52,3602000,132.5
2382,廣達,1.05,3104000,313.0
4904,遠傳,0.3,2943000,95.3
6505,台塑化,0.16,2823000,52.7
2454,聯發科,4.79,2810000,1575.0
3045,台灣大,0.32,2673000,110.0
2301,光寶科,0.42,2495000,155.0
2603,長榮,0.54,2479000,203.0
2327,國巨*,0.68,2238000,281.5
2449,京元電子,0.39,1318000,275.0
6446,藥華藥,0.7,1029000,631.0
2357,華碩,0.51,824000,568.0
8046,南電,0.5,690000,669.0
2395,研華,0.23,600000,348.0
2379,瑞昱,0.32,584000,512.0
2345,智邦,1.07,584000,1690.0
2360,致茂,0.94,472000,1840.0
2368,金像電,0.46,392000,1095.0
2383,台光電,1.36,392000,3220.0
3017,奇鋐,0.94,389000,2235.0
1519,華城,0.23,268000,806.0
3665,貿聯-KY,0.53,228000,2130.0
6669,緯穎,0.52,135000,3580.0
7769,鴻勁,0.58,126000,4245.0
3008,大立光,0.31,125000,2280.0
3653,健策,0.57,125000,4240.0
3443,創意電子,0.3,104000,2655.0
3661,世芯-KY,0.29,92000,2895.0
2059,川湖,0.29,83000,3275.0
202604TX,臺股期貨,2.87,380,0.0
