code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
1314,中石化,111,2,109,98.2,9.01
00918,大華優利高填息30,87,1,86,296.3,34.25
2002,中鋼,62,0,62,116.3,18.75
00919,群益台灣精選高息,50,0,50,160.5,31.9
00712,復華富時不動產,30,5,25,20.1,7.97
6226,光鼎,30,7,23,103.2,44.32
2610,華航,20,0,20,40.4,20.2
00961,FT臺灣永續高息,19,0,19,25.3,13.32
1316,上曜,15,0,15,16.3,10.85
3029,零壹,15,1,14,175.6,121.09
2489,瑞軒,22,8,14,60.9,43.48
2313,華通,14,2,12,280.2,222.8
2542,興富發,18,6,12,57.5,47.95
2305,全友,17,5,12,68.1,57.94
3264,欣銓,12,0,12,305.5,265.45
4956,光鋐,20,9,11,44.4,40.15
2886,兆豐金,11,1,10,50.8,50.81
1504,東元,10,0,10,69.7,69.7
6811,宏碁資訊,11,1,10,264.2,264.2
2453,凌群,10,0,10,55.4,55.4
3481,群創,16,8,8,39.8,48.13
,期元大S&P日圓正2,8,0,8,15.7,19.57
1605,華新,8,0,8,29.5,36.83
1815,富喬,27,20,7,81.4,116.21
,元大美債20年,7,0,7,18.0,25.69
,主動統一升級50,14,118,-104,-107.0,10.26
6770,力積電,22,115,-93,-685.6,73.34
,群益臺灣加權正2,60,151,-91,-110.9,12.19
,主動復華未來50,10,101,-91,-158.6,17.43
,主動統一前沿科技,0,70,-70,-70.1,10.02
6140,訊達,0,65,-65,-140.9,21.68
,主動富邦台灣龍耀,0,47,-47,-41.9,8.75
,主動統一台股增長,0,42,-42,-123.7,28.93
009816,凱基台灣TOP50,3,42,-39,-63.8,16.22
2408,南亞科,3,41,-38,-1984.1,519.65
,主動群益科技創新,0,38,-38,-68.7,18.09
3576,聯合再生,10,43,-33,-56.4,16.8
,主動聯博動能50,0,30,-30,-29.1,9.69
,主動凱基台灣,0,28,-28,-27.2,9.59
,元大台灣50正2,0,25,-25,-95.7,37.38
6182,合晶,9,34,-25,-286.2,113.82
2449,京元電子,19,44,-25,-701.1,279.54
6239,力成,1,23,-22,-629.8,281.14
2344,華邦電,15,35,-20,-370.5,178.3
00929,復華台灣科技優息,0,19,-19,-54.9,28.87
6257,矽格,11,29,-18,-445.8,242.27
00927,群益半導體收益,0,17,-17,-65.3,38.42
,主動摩根台灣鑫收,0,16,-16,-22.6,14.12
,主動元大AI新經濟,0,15,-15,-22.8,15.18
2472,立隆電,0,15,-15,-315.0,210.0
