code,name,net_shares,net_amount
3011,今皓,432,5318.0
,期街口布蘭特正2,422,20947.0
1717,長興,202,13995.0
1711,永光,145,5318.0
5457,宣德,69,2705.0
1314,中石化,51,411.0
2344,華邦電,50,4702.0
2834,臺企銀,48,732.0
2408,南亞科,41,8946.0
8103,瀚荃,36,3158.0
5443,均豪,36,4219.0
6770,力積電,35,2003.0
2402,毅嘉,35,1984.0
6443,元晶,34,1251.0
6168,宏齊,34,1002.0
2472,立隆電,34,4917.0
00919,群益台灣精選高息,33,767.0
1504,東元,32,1920.0
2337,旺宏,30,4350.0
3532,台勝科,30,4325.0
6127,九豪,29,1134.0
,主動統一台股增長,28,639.0
3189,景碩,28,11159.0
1304,台聚,27,432.0
3576,聯合再生,27,546.0
,期元大S&P原油反1,-1120,-15333.0
3380,明泰,-401,-16498.0
009816,凱基台灣TOP50,-168,-1885.0
3481,群創,-110,-3071.0
2489,瑞軒,-96,-4060.0
6494,九齊,-70,-3384.0
6120,達運,-63,-935.0
6116,彩晶,-53,-473.0
2409,友達,-51,-989.0
00927,群益半導體收益,-51,-1303.0
6209,今國光,-50,-2750.0
2356,英業達,-39,-1687.0
,中信中國50正2,-36,-381.0
2376,技嘉,-36,-9070.0
4989,榮科,-33,-2513.0
2610,華航,-33,-597.0
3591,艾笛森,-30,-687.0
2327,國巨*,-30,-8393.0
2105,正新,-30,-951.0
6239,力成,-29,-6194.0
3339,泰谷,-26,-1244.0
2367,燿華,-25,-2029.0
,元大台灣50反1,-25,-338.0
,主動統一全球創新,-24,-345.0
,主動群益科技創新,-23,-338.0
