code,name,weight,shares,price
3037,欣興,2.74,720000,444.5
FSLY US,FASTLY INC - CLASS A,1.57,250000,0.0
2308,台達電,2.74,240000,1380.0
3017,奇鋐,3.53,215000,1990.0
5803 JP,FUJIKURA LTD,1.46,210000,0.0
2330,台積電,2.43,177000,1760.0
AIXA GY,AIXTRON SE,1.43,155000,0.0
268A JP,RIGAKU HOLDINGS CORP,0.51,150000,0.0
6869 HK,YANGTZE OPTICAL FIBRE AND-H,0.91,146000,0.0
2383,台光電,2.98,139000,2600.0
2360,致茂,1.5,120000,1465.0
GLW US,CORNING INC,3.65,115000,0.0
403870 KS,HPSP CO LTD,0.7,100000,0.0
VIAV US,VIAVI SOLUTIONS INC,0.78,100000,0.0
6787 JP,MEIKO ELECTRONICS CO LTD,4.11,97000,0.0
005930 KS,samsung electronics co ltd(005930 KS),2.73,95000,0.0
BKSY US,BLACKSKY TECHNOLOGY INC,0.49,90000,0.0
ENR GY,SIEMENS ENERGY AG,3.02,75000,0.0
4971 JP,MEC CO LTD,0.73,71000,0.0
AXTI US,AXT INC,0.88,68000,0.0
BE US,BLOOM ENERGY CORP- A,2.01,68000,0.0
5801 JP,FURUKAWA ELECTRIC CO LTD,3.25,68000,0.0
SOI FP,S.O.I.T.E.C.,0.96,65000,0.0
285A JP,KIOXIA HOLDINGS CORP,2.01,65000,0.0
5706 JP,Mitsui Mining ＆ Smelting Co,2.74,60000,0.0
6515,穎崴,3.55,60000,7150.0
3110 JP,NITTO BOSEKI CO LTD,1.72,56500,0.0
MU US,MICRON TECHNOLOGY INC,4.37,55000,0.0
LITE US,LUMENTUM HOLDINGS INC.lite us,7.88,48800,0.0
COHR US,COHERENT INC,2.44,45000,0.0
7769,鴻勁,1.14,40000,3505.0
NVDA US,NVIDIA CORP(輝達公司),1.53,37500,0.0
EXENS FP,EXOSENS SAS,0.62,37000,0.0
CIEN US,CIENA CORP,3.24,36000,0.0
SNDK US,SANDISK CORP,4.24,30000,0.0
TER US,TERADYNE INC,1.91,28000,0.0
SMHN GY,SUSS MICROTEC SE,0.35,25000,0.0
5274,信驊,2.07,24000,10700.0
WDC US,WESTERN DIGITAL CORP,1.37,22000,0.0
6961 JP,ENPLAS CORP,0.37,20000,0.0
HOT GY,HOCHTIEF AG,2.12,20000,0.0
009150 KS,Samsung Electro-Mechanics co(009150 ks),1.19,17000,0.0
GEV US,GE VERNOVA INC,3.13,15500,0.0
GOOGL US,ALPHABET INC-CL A(Alphabet公司),0.94,14000,0.0
KEYS US,KEYSIGHT TECHNOLOGIES IN,0.66,10000,0.0
