code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,群益臺灣加權正2,428,20,408,413.5,10.12
,主動統一升級50,399,46,353,322.1,9.11
009816,凱基台灣TOP50,278,0,278,391.8,14.05
0050,元大台灣50,296,17,279,2721.9,97.62
3149,正達,192,2,190,1269.2,66.8
,元大台灣50正2,151,10,141,438.0,30.99
,主動復華未來50,160,33,127,197.1,15.44
0056,元大高股息,115,2,113,547.1,48.49
,主動統一台股增長,121,12,109,282.6,25.93
8936,國統,68,0,68,349.3,51.37
,國泰臺灣加權反1,58,0,58,10.4,1.78
00919,群益台灣精選高息,51,0,51,150.6,28.96
2303,聯電,63,13,50,574.3,113.45
2449,京元電子,56,6,50,1217.0,243.85
2317,鴻海,66,19,47,1159.5,242.81
3481,群創,153,117,36,169.2,47.05
00935,野村臺灣新科技50,35,0,35,182.4,51.78
2344,華邦電,38,3,35,506.2,143.96
,主動聯博全球非投,35,0,35,35.6,10.18
6770,力積電,50,16,34,193.1,55.91
,主動中信台灣收益,34,0,34,29.5,8.69
,主動國泰動能高息,33,0,33,41.9,12.71
2891,中信金,30,0,30,186.5,62.1
2337,旺宏,29,0,29,330.3,113.0
,主動元大AI新經濟,28,0,28,41.7,14.89
,元大AAA至A公司債,0,156,-156,-484.8,31.08
,群益ESG投等債20+,0,127,-127,-186.2,14.66
2409,友達,137,236,-99,-231.1,23.46
00955,中信日本商社,5,100,-95,-140.8,14.82
,主動凱基台灣,72,150,-78,-65.1,8.4
9919,康那香,0,65,-65,-90.7,13.95
1301,台塑,9,60,-51,-294.1,57.61
6443,元晶,1,39,-38,-100.1,26.33
2371,大同,2,37,-35,-87.4,24.98
,元大台灣50反1,17,50,-33,-36.8,10.98
1303,南亞,6,40,-34,-524.6,156.59
6116,彩晶,1,30,-29,-37.1,12.78
3036,文曄,22,49,-27,-502.1,185.94
2542,興富發,0,25,-25,-107.9,43.15
1101,台泥,1,24,-23,-56.2,24.41
1709,和益,1,21,-20,-48.8,24.41
3673,TPK-KY,0,20,-20,-114.5,57.25
8150,南茂,1,21,-20,-160.8,81.2
2610,華航,2,20,-18,-40.9,21.9
6207,雷科,0,18,-18,-180.9,100.49
,主動統一全球創新,33,50,-17,-25.4,15.37
3576,聯合再生,0,16,-16,-27.1,16.91
6414,樺漢,0,16,-16,-723.8,453.68
1326,台化,1,16,-15,-96.4,60.99
2618,長榮航,0,15,-15,-67.0,42.39
