code,name,net_shares,net_amount
,主動統一全球創新,202,2695.0
,元大台灣50反1,195,2760.0
00919,群益台灣精選高息,152,3469.0
3481,群創,91,2315.0
1303,南亞,66,5189.0
,主動群益科技創新,59,809.0
,主動群益台灣強棒,59,1001.0
,中信中國50正2,50,511.0
3105,穩懋,47,16806.0
3016,嘉晶,45,2774.0
6770,力積電,39,2612.0
8028,昇陽半導體,35,6801.0
3576,聯合再生,31,775.0
2367,燿華,30,2427.0
2409,友達,30,454.0
3056,富華新,30,446.0
,期元大道瓊白銀,26,1541.0
2455,全新,26,7169.0
2344,華邦電,26,2547.0
6116,彩晶,24,201.0
,國泰投資級公司債,24,847.0
6182,合晶,22,783.0
5536,聖暉*,20,15344.0
1785,光洋科,20,1860.0
,第一金優選非投債,19,176.0
,主動復華未來50,-137,-1777.0
1449,佳和,-130,-1507.0
,主動統一台股增長,-128,-2720.0
1314,中石化,-116,-972.0
009816,凱基台灣TOP50,-113,-1216.0
,主動野村台灣50,-80,-1326.0
4763,材料*-KY,-60,-2665.0
00926,凱基全球菁英55,-55,-1246.0
,群益ESG投等債20+,-38,-563.0
00924,復華S&P500成長,-36,-994.0
1101,台泥,-31,-724.0
00918,大華優利高填息30,-31,-691.0
1710,東聯,-30,-441.0
1304,台聚,-27,-409.0
1802,台玻,-27,-1486.0
,台新新光辛特,-25,-243.0
2313,華通,-25,-6182.0
6278,台表科,-22,-2119.0
1582,信錦,-21,-1952.0
2605,新興,-19,-833.0
2355,敬鵬,-19,-937.0
2618,長榮航,-17,-602.0
00885,富邦越南,-17,-288.0
6147,頎邦,-16,-1276.0
,凱基A級公司債,-15,-212.0
