code,name,weight,shares
1605,華新麗華,2.61,6240000
4904,遠傳電信,3.28,2967000
2412,中華電信,3.88,2392000
2881,富邦金融控股,2.25,2051100
2891,中國信託金融控股,1.03,1630000
3036,文曄科技,2.81,1343000
2395,研華,3.44,887000
2330,台灣積體電路製造,19.4,852000
2344,華邦電子,0.88,661000
2317,鴻海精密工業,1.72,640000
1216,統一企業,0.36,413000
3711,日月光投資控股,1.73,409000
6789,采鈺科技,1.61,373000
3037,欣興電子,1.92,353000
1477,聚陽實業,1.28,346000
2327,國巨,1.11,335000
6239,力成科技,0.82,302000
2382,廣達電腦,1.03,298000
3264,欣銓科技,0.4,241000
4749,新應材,2.6,237000
2449,京元電子,0.84,235000
3533,嘉澤端子工業,4.47,229000
3105,穩懋半導體,0.87,226000
6488,環球晶圓,0.93,183000
3293,鈊象電子,1.33,162000
2308,台達電子工業,1.91,121000
2408,南亞科技,0.35,116000
2454,聯發科技,2.33,109000
6415,矽力杰,0.32,107000
2360,致茂電子,1.64,100000
2345,智邦科技,1.5,90000
2368,金像電子（股）公司,0.81,90000
8210,勤誠興業,0.82,76000
3017,奇鋐科技,1.5,71000
6442,光紅建聖,1.56,57000
2383,台光電子材料,1.42,52000
1519,華城電機,0.54,47000
6274,台燿科技,0.3,47000
6781,AES Holding Co Ltd,0.54,41000
3661,世芯電子,1.54,39000
6805,富世達,0.75,36000
6223,旺矽科技,1.18,35000
3653,健策精密工業,1.14,32000
3665,貿聯控股（BizLink Holding In,0.6,31000
6515,穎崴科技,0.89,16000
6669,緯穎科技服務,0.78,16000
3529,力旺電子,0.36,13000
7769,鴻勁精密,0.59,12000
5274,信驊科技,0.44,4000
2059,川湖科技,0.15,4000
