code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
2409,友達,2266,487,1779,3235.3,18.18
4960,誠美材,1191,67,1124,2577.3,22.93
,主動統一全球創新,705,122,583,866.9,14.87
3535,晶彩科,618,46,572,7666.6,134.13
4989,榮科,600,130,470,3805.5,80.96
2303,聯電,911,457,454,2833.3,62.39
5439,高技,418,26,392,13259.2,338.5
0056,元大高股息,440,61,379,1496.7,39.47
2316,楠梓電,361,19,342,4030.6,117.99
6217,中探針,390,102,288,6700.8,232.01
4958,臻鼎-KY,321,58,263,6902.3,261.94
2881,富邦金,261,1,260,2289.6,87.96
,主動統一台股增長,382,175,207,480.4,23.1
3049,精金,208,11,197,256.2,13.0
1569,濱川,189,2,187,1048.5,56.07
6239,力成,195,15,180,3879.0,215.06
2367,燿華,369,202,167,1279.1,76.51
2890,永豐金,258,102,156,507.5,32.69
2610,華航,144,0,144,261.3,18.14
6152,百一,118,1,117,216.2,18.47
6509,聚和,160,43,117,536.2,45.9
1303,南亞,144,43,101,835.3,82.51
3349,寶德,101,0,101,281.8,27.9
2374,佳能,106,5,101,708.1,70.27
,國泰臺灣加權反1,100,0,100,21.5,2.15
2489,瑞軒,1080,8400,-7320,-30989.8,42.33
2402,毅嘉,189,2320,-2131,-12568.9,58.98
1815,富喬,535,2268,-1733,-20711.7,119.52
00922,國泰台灣領袖50,3,787,-784,-2343.0,29.87
3663,鑫科,23,442,-419,-2843.6,67.83
009816,凱基台灣TOP50,143,551,-408,-463.8,11.36
3189,景碩,59,432,-373,-14165.6,380.7
3035,智原,17,314,-297,-4484.1,151.06
0050,元大台灣50,78,303,-225,-1804.6,80.38
2382,廣達,22,244,-222,-7211.1,323.67
,元大美債20正2,3,198,-195,-139.0,7.13
,群益ESG投等債20+,47,212,-165,-247.2,15.0
00830,國泰費城半導體,3,154,-151,-924.8,61.12
3135,凌航,6,154,-148,-1709.0,115.46
00878,國泰永續高股息,124,270,-146,-337.6,23.01
2882,國泰金,16,155,-139,-1007.2,72.69
00946,群益科技高息成長,0,127,-127,-134.4,10.58
3437,榮創,4,129,-125,-297.5,23.8
2356,英業達,12,134,-122,-543.9,44.54
4804,大略-KY,1,123,-122,-44.7,3.66
6120,達運,0,111,-111,-159.6,14.38
00887,永豐中國科技50大,2,111,-109,-143.4,13.16
6257,矽格,101,201,-100,-1741.0,174.07
6415,矽力*-KY,1,101,-100,-2791.8,280.19
2855,統一證,2,101,-99,-312.4,31.55
