code,name,weight,shares
2887,台新新光金,2.02,50239000
2883,凱基金,1.19,34809000
2890,永豐金,1.56,29339000
2885,元大金,2.02,26379000
2891,中信金,2.11,24188000
2880,華南金,1.3,21811000
2882,國泰金,2.06,16305000
2317,鴻海,5.9,15238000
2330,台積電,42.82,13384000
2884,玉山金,0.7,12362000
2892,第一金,0.44,9165000
2886,兆豐金,0.6,9162000
2303,聯電,0.95,9091000
5880,合庫金,0.35,8941000
2881,富邦金,1.18,7814000
1303,南亞,0.63,4347000
2412,中華電,0.88,3919000
1216,統一,0.45,3754000
3037,欣興,2.15,2758000
2308,台達電,6.09,2639000
3711,日月光投控,1.53,2548000
3231,緯創,0.52,2393000
2382,廣達,1.04,2128000
4904,遠傳,0.3,1955000
2454,聯發科,5.82,1891000
6505,台塑化,0.17,1875000
3045,台灣大,0.31,1776000
2301,光寶科,0.45,1657000
2603,長榮,0.56,1646000
2327,國巨*,0.7,1487000
2449,京元電子,0.45,876000
6446,藥華藥,0.76,684000
2357,華碩,0.47,549000
2395,研華,0.22,400000
8046,南電,0.35,395000
2345,智邦,0.89,389000
2379,瑞昱,0.3,389000
2360,致茂,0.64,262000
2368,金像電,0.33,261000
3017,奇鋐,0.74,259000
2383,台光電,0.98,254000
1519,華城,0.3,178000
3665,貿聯-KY,0.37,150000
6669,緯穎,0.61,91000
3008,大立光,0.34,85000
3653,健策,0.41,83000
7769,鴻勁,0.57,81000
3443,創意電子,0.3,69000
3661,世芯-KY,0.33,60000
2059,川湖,0.3,55000
202603TX,臺股期貨,3.42,300
