code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,台新新光辛特,5300,0,5300,4982.0,9.4
4562,穎漢,445,6,439,1651.7,37.57
4707,磐亞,437,3,434,619.1,14.27
00927,群益半導體收益,441,10,431,1178.7,27.33
6725,矽科宏晟,350,7,343,12549.8,365.96
,主動統一全球創新,329,4,325,509.3,15.62
,主動群益美國增長,380,67,313,332.3,10.6
2337,旺宏,977,665,312,5062.4,162.48
,元大台灣50正2,497,204,293,744.2,25.47
,主動統一台股增長,403,117,286,695.7,24.3
2382,廣達,274,43,231,7210.6,311.84
1528,恩德,356,135,221,671.2,30.34
2303,聯電,507,295,212,1306.6,61.81
009815,大華美國MAG7+,303,101,202,202.7,10.04
0055,元大MSCI金融,200,0,200,665.6,33.28
5289,宜鼎,214,18,196,22546.0,1151.26
2610,華航,172,2,170,311.5,18.29
6456,GIS-KY,309,140,169,1170.8,69.3
1721,三晃,136,1,135,275.2,20.39
2891,中信金,158,24,134,709.1,52.74
,主動群益科技創新,163,38,125,193.1,15.43
00955,中信日本商社,170,49,121,188.7,15.58
6147,頎邦,128,11,117,1281.2,109.66
4979,華星光,143,34,109,5839.8,537.76
2890,永豐金,105,2,103,341.0,33.05
2409,友達,1046,8619,-7573,-14883.9,19.65
009816,凱基台灣TOP50,392,1639,-1247,-1492.4,11.97
6155,鈞寶,8,915,-907,-4669.1,51.48
3035,智原,4,858,-854,-12788.1,149.78
1717,長興,154,831,-677,-5425.3,80.15
,復華香港反1,0,546,-546,-282.1,5.17
,期元大S&P原油反1,0,504,-504,-708.1,14.05
00940,元大台灣價值高息,50,466,-416,-417.2,10.01
,主動國泰動能高息,38,443,-405,-469.0,11.59
9105,泰金寶-DR,24,393,-369,-198.0,5.37
2049,上銀,812,1127,-315,-8984.9,285.32
3481,群創,421,712,-291,-819.4,28.15
6257,矽格,52,338,-286,-5094.3,178.33
6834,天二科技,1,218,-217,-854.8,39.39
,凱基美國非投等債,0,211,-211,-308.1,14.56
8358,金居,279,430,-151,-4861.3,322.26
2367,燿華,32,176,-144,-1057.9,73.55
,主動復華未來50,43,183,-140,-200.1,14.31
3691,碩禾,6,144,-138,-1751.1,126.89
6425,易發,20,156,-136,-1099.6,80.85
2404,漢唐,5,139,-134,-12325.2,921.63
2881,富邦金,21,153,-132,-1168.3,88.16
00919,群益台灣精選高息,88,211,-123,-281.4,22.99
1319,東陽,5,122,-117,-910.7,77.91
6282,康舒,173,283,-110,-550.2,50.27
