code,name,net_shares,net_amount
,主動統一台股增長,166,3404.0
,元大台灣50正2,138,2872.0
2834,臺企銀,102,1540.0
8112,至上,100,7707.0
3105,穩懋,57,21681.0
1528,恩德,47,1295.0
2353,宏碁,44,1198.0
3576,聯合再生,39,886.0
2308,台達電,29,42996.0
6770,力積電,29,1587.0
5864,致和證,25,600.0
6190,萬泰科,22,1261.0
6668,中揚光,20,687.0
,群益臺灣加權反1,20,28.0
,群益ESG投等債0-5,20,207.0
2367,燿華,20,1518.0
4763,材料*-KY,19,808.0
2891,中信金,19,1013.0
2344,華邦電,19,1828.0
6414,樺漢,19,5248.0
3005,神基,14,1387.0
6568,宏觀,14,3063.0
8028,昇陽半導體,11,2131.0
2374,佳能,11,750.0
,元大台灣50反1,10,144.0
2887,台新新光金,-288,-6901.0
0050,元大台灣50,-222,-16744.0
0052,富邦科技,-187,-8340.0
00919,群益台灣精選高息,-150,-3343.0
00881,國泰台灣科技龍頭,-137,-5055.0
8046,南電,-128,-72156.0
1101,台泥,-102,-2412.0
00918,大華優利高填息30,-99,-2189.0
1786,科妍,-99,-6036.0
3665,貿聯-KY,-67,-128003.0
,主動復華未來50,-63,-792.0
,台新美國非投等債,-60,-597.0
8422,可寧衛*,-52,-1528.0
2505,國揚,-40,-772.0
,期元大S&P黃金,-40,-1971.0
,元大優息投等債,-40,-373.0
1582,信錦,-35,-3772.0
6163,華電網,-33,-2053.0
,元大滬深300正2,-30,-595.0
,主動野村台灣50,-30,-486.0
2002,中鋼,-30,-583.0
2542,興富發,-28,-989.0
1303,南亞,-27,-2174.0
2610,華航,-25,-473.0
8039,台虹,-24,-2717.0
