code,name,weight,shares,price
2887,台新新光金,2.09,70996000,24.6
2883,凱基金,1.18,49250000,20.65
2890,永豐金,1.58,41460000,32.05
2885,元大金,1.99,37274000,44.65
2891,中信金,2.13,34203000,53.3
2880,華南金,1.24,30844000,33.4
2882,國泰金,1.99,23039000,73.4
2317,鴻海,5.29,21429000,210.0
2330,台積電,42.16,18913000,1905.0
2884,玉山金,0.67,17446000,32.25
2892,第一金,0.45,12962000,28.95
2886,兆豐金,0.61,12953000,39.3
2303,聯電,0.91,12839000,61.1
5880,合庫金,0.35,12550000,23.2
2881,富邦金,1.17,11043000,89.5
1303,南亞,0.62,6152000,86.2
2412,中華電,0.91,5547000,137.5
1216,統一,0.45,5313000,71.4
3037,欣興,2.86,4080000,580.0
2308,台達電,6.62,3777000,1465.0
3711,日月光投控,1.51,3606000,357.5
3231,緯創,0.52,3367000,130.5
2382,廣達,1.04,3012000,293.0
4904,遠傳,0.31,2767000,94.0
2454,聯發科,5.42,2676000,1730.0
6505,台塑化,0.18,2654000,57.0
3045,台灣大,0.33,2513000,110.0
2301,光寶科,0.46,2400000,170.0
2603,長榮,0.61,2331000,218.0
2327,國巨*,0.7,2105000,280.5
2449,京元電子,0.48,1270000,323.0
6446,藥華藥,0.75,964000,673.0
2357,華碩,0.55,792000,594.0
8046,南電,0.47,690000,567.0
2395,研華,0.23,562000,349.0
2379,瑞昱,0.31,548000,482.0
2345,智邦,1.05,548000,1600.0
2360,致茂,0.91,472000,1565.0
2383,台光電,1.37,392000,2700.0
2368,金像電,0.46,380000,917.0
3017,奇鋐,0.92,378000,1850.0
1519,華城,0.28,251000,929.0
3665,貿聯-KY,0.45,217000,1690.0
6669,緯穎,0.58,127000,3825.0
3653,健策,0.56,120000,3980.0
7769,鴻勁,0.6,120000,4380.0
3008,大立光,0.33,119000,2440.0
3443,創意電子,0.3,95000,2515.0
3661,世芯-KY,0.32,83000,3300.0
2059,川湖,0.34,80000,3410.0
202604TX,臺股期貨,2.43,300,0.0
