code,name,net_shares,net_amount
1314,中石化,1227,9981.0
,主動兆豐台灣豐收,292,2918.0
2515,中工,224,3017.0
0050,元大台灣50,163,12125.0
3049,精金,159,1992.0
6770,力積電,149,8643.0
009816,凱基台灣TOP50,146,1545.0
,主動元大AI新經濟,144,1732.0
,野村10+澳洲公債,123,1880.0
4906,正文,110,4091.0
,群益優選非投等債,107,1032.0
0056,元大高股息,90,3453.0
00918,大華優利高填息30,71,1568.0
,主動群益科技創新,68,905.0
,元大台灣50反1,59,843.0
2887,台新新光金,51,1197.0
00881,國泰台灣科技龍頭,49,1799.0
0052,富邦科技,48,2134.0
1304,台聚,46,759.0
2349,錸德,44,599.0
2355,敬鵬,42,2112.0
2892,第一金,41,1161.0
2344,華邦電,41,3716.0
1708,東鹼,40,1746.0
,國泰20年美債正2,36,253.0
6919,康霈*,-99,-8083.0
2313,華通,-83,-22288.0
2337,旺宏,-71,-8306.0
00900,富邦特選高股息30,-70,-977.0
2458,義隆,-66,-8383.0
1217,愛之味,-53,-542.0
2201,裕隆,-49,-1366.0
2912,統一超,-47,-10634.0
1476,儒鴻,-45,-15134.0
1785,光洋科,-35,-3336.0
2374,佳能,-35,-2468.0
2484,希華,-31,-916.0
,群益ESG投等債0-5,-30,-307.0
6285,啟碁,-29,-5335.0
1905,華紙,-27,-436.0
1611,中電,-24,-296.0
3305,昇貿,-24,-2532.0
6213,聯茂,-23,-3672.0
4958,臻鼎-KY,-23,-5535.0
8021,尖點,-23,-6126.0
6530,創威,-22,-2029.0
3317,尼克森,-22,-1030.0
1582,信錦,-22,-2246.0
5871,中租-KY,-20,-2281.0
4973,廣穎,-20,-1189.0
