code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
2303,聯電,7179,501,6678,70334.8,105.33
3481,群創,3340,1122,2218,8050.8,36.28
2337,旺宏,2417,726,1691,28465.7,168.38
,主動統一升級50,1666,235,1431,1473.1,10.29
6209,今國光,1258,30,1228,8387.3,68.3
8043,蜜望實,823,41,782,8066.9,103.13
6116,彩晶,948,536,412,430.3,10.44
00891,中信關鍵半導體,254,6,248,859.7,34.66
,主動復華未來50,471,263,208,391.2,18.78
009816,凱基台灣TOP50,232,27,205,287.1,13.95
5483,中美晶,226,21,205,3185.3,155.08
2354,鴻準,227,23,204,1230.4,60.25
6265,方土昶,213,66,147,693.8,47.2
7734,印能科技,148,5,143,60362.3,4225.37
4938,和碩,169,29,140,1093.2,77.57
,主動群益美國增長,159,20,139,178.0,12.81
1216,統一,166,40,126,942.1,74.77
2505,國揚,118,0,118,211.2,17.9
1301,台塑,124,16,108,506.1,46.61
2356,英業達,286,178,108,583.9,54.02
,主動統一全球創新,166,60,106,214.9,20.18
2834,臺企銀,112,7,105,169.6,16.1
6451,訊芯-KY,121,18,103,5422.9,523.82
,主動第一金台股優,102,1,101,180.8,17.8
2812,台中銀,156,56,100,191.6,19.19
2324,仁寶,237,1081,-844,-2591.0,30.72
8071,能率網通,7,529,-522,-950.3,18.21
6166,凌華,22,532,-510,-5612.1,109.91
2327,國巨*,61,566,-505,-23341.7,462.0
3006,晶豪科,149,565,-416,-9843.2,236.18
,元大美債20正2,0,400,-400,-272.0,6.8
2543,皇昌,2,342,-340,-1361.8,40.16
2344,華邦電,2410,2739,-329,-4368.9,132.93
,主動統一台股增長,324,617,-293,-870.4,29.68
8076,伍豐,0,282,-282,-706.1,25.04
00919,群益台灣精選高息,31,312,-281,-728.0,25.85
3714,富采,42,322,-280,-1871.5,67.01
3048,益登,303,526,-223,-1102.2,49.39
2302,麗正,71,259,-188,-494.4,26.36
009820,元大納斯達克精選,20,179,-159,-159.7,10.05
6443,元晶,157,303,-146,-611.5,41.84
5347,世界,67,213,-146,-2559.9,175.74
6449,鈺邦,1,131,-130,-3112.7,239.44
1721,三晃,4,131,-127,-432.5,34.06
1810,和成,2,122,-120,-225.5,18.79
1605,華新,229,344,-115,-410.9,35.62
00940,元大台灣價值高息,0,112,-112,-125.9,11.24
2367,燿華,45,157,-112,-741.7,66.35
2002,中鋼,48,157,-109,-199.2,18.3
00939,統一台灣高息動能,0,101,-101,-184.7,18.29
