code,name,net_shares,net_amount
3710,連展投控,304,2149.0
009816,凱基台灣TOP50,170,1769.0
3062,建漢,103,3041.0
,主動統一台股增長,60,1237.0
5347,世界,50,5781.0
,主動群益科技創新,50,656.0
0050,元大台灣50,46,3343.0
4763,材料*-KY,44,1918.0
6244,茂迪,43,1161.0
00881,國泰台灣科技龍頭,41,1481.0
0056,元大高股息,38,1472.0
,主動中信非投等債,36,370.0
,主動群益台灣強棒,35,568.0
3481,群創,34,803.0
0052,富邦科技,33,1444.0
1309,台達化,32,779.0
3715,定穎投控,26,4906.0
1582,信錦,25,2669.0
009815,大華美國MAG7+,24,214.0
2324,仁寶,22,647.0
00924,復華S&P500成長,22,580.0
,主動兆豐台灣豐收,22,217.0
6548,長科*,22,1049.0
4958,臻鼎-KY,20,4400.0
2353,宏碁,20,539.0
00926,凱基全球菁英55,-558,-12185.0
8046,南電,-261,-146902.0
2409,友達,-92,-1294.0
00918,大華優利高填息30,-72,-1577.0
,中信美國公債20年,-68,-1858.0
4906,正文,-60,-2153.0
,期元大S&P石油,-57,-1558.0
,期街口布蘭特正2,-53,-3287.0
8422,可寧衛*,-44,-1273.0
,主動復華未來50,-43,-526.0
,元大台灣50反1,-26,-383.0
5269,祥碩,-25,-27685.0
,群益ESG投等債0-5,-25,-258.0
2610,華航,-24,-455.0
1303,南亞,-23,-1860.0
2344,華邦電,-23,-2101.0
3576,聯合再生,-22,-486.0
,元大美債20年,-20,-542.0
4526,東台,-20,-667.0
6120,達運,-20,-252.0
1314,中石化,-20,-170.0
3105,穩懋,-20,-7504.0
1528,恩德,-19,-483.0
1326,台化,-16,-781.0
6547,高端疫苗,-15,-874.0
