code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,國泰臺灣加權反1,130,0,130,27.1,2.08
3062,建漢,112,3,109,340.8,31.26
,主動統一全球創新,96,6,90,139.6,15.51
,元大台灣50反1,65,6,59,76.8,12.96
2408,南亞科,67,8,59,1359.4,231.4
3481,群創,428,371,57,162.1,28.55
2485,兆赫,74,25,49,401.6,81.75
4939,亞電,72,23,49,156.3,31.89
,主動統一台股增長,58,14,44,104.2,23.69
8215,明基材,44,2,42,107.5,25.6
8076,伍豐,25,0,25,58.5,23.39
,主動復華未來50,25,1,24,33.9,14.11
,主動群益科技創新,40,16,24,36.4,15.18
2489,瑞軒,61,38,23,106.6,46.36
4510,高鋒,22,2,20,88.2,44.12
1711,永光,40,20,20,84.9,43.95
009816,凱基台灣TOP50,78,59,19,22.4,11.6
3450,聯鈞,26,10,16,501.5,313.44
6285,啟碁,24,11,13,312.4,233.85
2313,華通,38,25,13,332.1,252.14
3504,揚明光,21,10,11,69.1,62.29
3434,哲固,11,0,11,32.0,29.1
2883,凱基金,11,0,11,22.2,21.0
2316,楠梓電,11,1,10,120.0,120.0
4906,正文,11,1,10,40.0,40.04
2388,威盛,1,156,-155,-869.7,56.11
2409,友達,112,258,-146,-278.6,19.07
1326,台化,15,133,-118,-604.6,51.22
00955,中信日本商社,0,90,-90,-142.5,15.84
00900,富邦特選高股息30,0,73,-73,-108.0,14.79
,主動群益美國增長,48,100,-52,-53.9,10.36
2402,毅嘉,6,51,-45,-321.8,71.51
2002,中鋼,0,42,-42,-85.1,20.27
00940,元大台灣價值高息,0,40,-40,-40.0,9.98
1314,中石化,0,40,-40,-31.4,7.85
00918,大華優利高填息30,0,39,-39,-89.0,22.83
0050,元大台灣50,3,40,-37,-305.4,82.64
,元大台灣50正2,31,63,-32,-78.2,24.67
1802,台玻,33,61,-28,-189.1,68.77
8358,金居,2,24,-22,-710.7,313.91
3231,緯創,0,21,-21,-296.6,137.3
2337,旺宏,30,50,-20,-339.5,162.82
6494,九齊,0,20,-20,-107.0,53.5
1313,聯成,1,21,-20,-26.5,13.27
2887,台新新光金,4,20,-16,-41.2,24.64
00922,國泰台灣領袖50,0,16,-16,-50.4,30.62
5546,永固-KY,0,15,-15,-25.8,17.19
4566,時碩工業,0,15,-15,-108.2,72.13
00961,FT臺灣永續高息,0,15,-15,-15.2,10.15
2355,敬鵬,3,17,-14,-73.0,51.1
