code,name,net_shares,net_amount
1528,恩德,153,4153.0
2344,華邦電,92,9473.0
2610,華航,63,1145.0
4927,泰鼎-KY,48,2067.0
1802,台玻,41,2448.0
3450,聯鈞,37,10507.0
6770,力積電,28,1574.0
3576,聯合再生,26,542.0
,期街口布蘭特正2,22,1115.0
2105,正新,20,639.0
,主動群益科技創新,19,264.0
3189,景碩,17,6838.0
2408,南亞科,17,3675.0
2442,新美齊,17,346.0
2104,國際中橡,16,192.0
5546,永固-KY,16,268.0
2485,兆赫,15,980.0
8150,南茂,14,853.0
1101,台泥,13,326.0
2399,映泰,13,505.0
,凱基金乙特,12,99.0
8096,擎亞,11,1093.0
3049,精金,10,125.0
1304,台聚,10,161.0
,富邦臺灣加權正2,10,1979.0
2845,遠東銀,-245,-3094.0
,主動復華未來50,-170,-2307.0
2409,友達,-106,-1976.0
,主動聯博全球非投,-100,-1003.0
1314,中石化,-75,-604.0
6116,彩晶,-68,-595.0
00946,群益科技高息成長,-57,-592.0
009816,凱基台灣TOP50,-53,-591.0
3481,群創,-52,-1542.0
6120,達運,-49,-680.0
00919,群益台灣精選高息,-48,-1099.0
,主動統一台股增長,-39,-880.0
2419,仲琦,-36,-1376.0
2367,燿華,-32,-2461.0
,元大台灣50正2,-31,-712.0
8011,台通,-30,-625.0
3583,辛耘,-30,-17910.0
,群益ESG投等債20+,-29,-435.0
1711,永光,-29,-1043.0
1303,南亞,-26,-2271.0
0052,富邦科技,-24,-1087.0
,主動元大AI新經濟,-23,-310.0
1708,東鹼,-15,-598.0
4949,有成精密,-15,-1122.0
009804,聯邦台精彩50,-14,-246.0
