code,name,weight,shares,price
2344,華邦電,1.71,580000,162.0
2330,台積電,14.16,328999,2365.0
2382,廣達,2.33,328000,390.5
3711,日月光投控,3.44,327002,577.0
2327,國巨*,4.16,297000,769.0
3037,欣興,4.49,264001,933.0
6147,頎邦,0.89,180000,270.0
8046,南電,2.51,163000,845.0
6274,台燿,4.22,144000,1610.0
3036,文曄,0.72,140000,281.0
2308,台達電,5.47,130499,2300.0
3017,奇鋐,4.81,101500,2600.0
3045,台灣大,0.21,100000,116.0
4958,臻鼎-KY,0.84,92000,504.0
2368,金像電,2.08,87000,1315.0
2454,聯發科,6.66,85000,4300.0
2360,致茂,3.92,84000,2565.0
2345,智邦,2.54,56000,2490.0
2383,台光電,4.8,54000,4885.0
2467,志聖,0.56,53000,580.0
3665,貿聯-KY,1.92,48000,2200.0
3044,健鼎,0.36,40000,498.0
2408,南亞科,0.2,30000,360.0
6669,緯穎,2.78,27000,5660.0
7769,鴻勁,3.44,26000,7275.0
6223,旺矽,2.51,23901,5765.0
3081,聯亞,1.06,22000,2655.0
2395,研華,0.18,20000,496.0
2059,川湖,1.74,17000,5620.0
8210,勤誠,0.4,16000,1370.0
8299,群聯,0.67,15000,2450.0
3661,世芯-KY,0.86,11000,4285.0
3443,創意,0.81,10050,4410.0
5274,信驊,2.3,7200,17505.0
6510,精測,0.3,5000,3300.0
6515,穎崴,0.77,5000,8425.0
4904,遠傳,0.0,3,101.5
2412,中華電,0.0,1,141.0
