code,name,net_shares,net_amount
,國泰10Y+金融債,200,3218.0
,元大台灣50正2,169,3546.0
,國泰20年美債,147,4155.0
4906,正文,145,5702.0
2409,友達,108,1762.0
,主動安聯台灣高息,106,1347.0
,主動野村臺灣優選,102,1817.0
,元大美債20正2,100,700.0
,期元大S&P石油,93,2631.0
0056,元大高股息,91,3460.0
00919,群益台灣精選高息,89,1992.0
,主動群益台灣強棒,82,1393.0
,期街口布蘭特正2,61,3688.0
1304,台聚,59,982.0
1308,亞聚,52,940.0
2367,燿華,51,3894.0
2615,萬海,49,3876.0
0050,元大台灣50,42,3093.0
1402,遠東新,40,1070.0
2426,鼎元,37,1415.0
6151,晉倫,36,1219.0
2408,南亞科,30,6358.0
6015,宏遠證,30,397.0
4949,有成精密,30,1961.0
1528,恩德,29,759.0
,國泰臺灣加權反1,-590,-1372.0
3704,合勤控,-210,-6898.0
7780,大研生醫*,-194,-4317.0
2887,台新新光金,-125,-3066.0
,元大台灣50反1,-114,-1643.0
,主動統一台股增長,-73,-1510.0
1605,華新,-68,-2051.0
,主動復華未來50,-67,-828.0
3481,群創,-63,-1541.0
2027,大成鋼,-58,-2208.0
2457,飛宏,-55,-1316.0
2344,華邦電,-51,-4870.0
1310,台苯,-48,-523.0
6147,頎邦,-38,-3139.0
,中信高評級公司債,-30,-1019.0
,群益優選非投等債,-30,-289.0
1305,華夏,-29,-589.0
2605,新興,-29,-1190.0
3664,安瑞-KY,-28,-228.0
8046,南電,-25,-15324.0
3006,晶豪科,-23,-3659.0
5388,中磊,-23,-1822.0
4960,誠美材,-23,-487.0
4721,美琪瑪,-22,-1602.0
00961,FT臺灣永續高息,-22,-216.0
