code,name,net_shares,net_amount
3714,富采,3417,185175.0
6147,頎邦,2260,188758.0
009816,凱基台灣TOP50,1125,11734.0
6664,群翊,1051,372567.0
3163,波若威,624,592672.0
5475,德宏,319,78437.0
2409,友達,305,5100.0
0056,元大高股息,251,9501.0
,元大台灣50正2,227,4662.0
2367,燿華,207,15556.0
2382,廣達,201,57432.0
,元大美債20正2,173,1211.0
1304,台聚,171,2986.0
0050,元大台灣50,152,11299.0
,主動統一台股增長,111,2264.0
1802,台玻,108,5872.0
2303,聯電,107,5786.0
1308,亞聚,101,1864.0
3349,寶德,98,2717.0
2027,大成鋼,96,3702.0
00878,國泰永續高股息,78,1699.0
2489,瑞軒,77,2622.0
4908,前鼎,77,7971.0
4130,健亞,72,2450.0
3265,台星科,68,9939.0
2344,華邦電,-3683,-344047.0
2449,京元電子,-2010,-522786.0
8027,鈦昇,-987,-150141.0
6282,康舒,-583,-26133.0
2887,台新新光金,-202,-4965.0
8358,金居,-162,-38424.0
3481,群創,-119,-2787.0
,台新美國非投等債,-115,-1149.0
6217,中探針,-96,-17632.0
1310,台苯,-83,-939.0
009817,國泰日本不動產,-80,-758.0
8422,可寧衛*,-77,-2237.0
5243,乙盛-KY,-76,-7142.0
6443,元晶,-67,-2651.0
3167,大量,-60,-26501.0
2897,王道銀行,-60,-605.0
1717,長興,-58,-3543.0
2351,順德,-58,-6030.0
2891,中信金,-56,-3044.0
2421,建準,-56,-7004.0
4949,有成精密,-49,-3305.0
2883,凱基金,-49,-956.0
3005,神基,-48,-4761.0
3024,憶聲,-44,-441.0
4960,誠美材,-41,-830.0
