code,name,net_shares,net_amount
3050,鈺德,206,2987.0
2883,凱基金,171,3435.0
,主動統一台股增長,152,3204.0
00919,群益台灣精選高息,138,3182.0
3481,群創,135,3645.0
,主動群益科技創新,131,1797.0
2344,華邦電,119,13782.0
,元大台灣50反1,101,1420.0
,主動統一全球創新,100,1349.0
2408,南亞科,82,20052.0
1802,台玻,82,4915.0
009816,凱基台灣TOP50,73,788.0
1312,國喬,53,780.0
2601,益航,50,310.0
5880,合庫金,44,1012.0
2317,鴻海,43,8813.0
00712,復華富時不動產,39,347.0
1815,富喬,36,3947.0
6226,光鼎,36,541.0
1304,台聚,35,536.0
1605,華新,35,1132.0
0050,元大台灣50,35,2662.0
2002,中鋼,33,641.0
6438,迅得,32,5215.0
6152,百一,31,597.0
,期街口布蘭特正2,-593,-32725.0
00927,群益半導體收益,-200,-5042.0
2501,國建,-100,-2410.0
,國泰臺灣加權反1,-100,-229.0
00881,國泰台灣科技龍頭,-98,-3636.0
,期元大美元指反1,-92,-1411.0
3033,威健,-86,-3117.0
4714,永捷,-60,-915.0
,主動元大AI新經濟,-60,-755.0
4906,正文,-58,-2069.0
2327,國巨*,-57,-15394.0
2489,瑞軒,-52,-2094.0
6168,宏齊,-40,-1068.0
8064,東捷,-39,-2540.0
,中信中國50正2,-36,-386.0
2812,台中銀,-35,-720.0
3234,光環,-33,-3384.0
1434,福懋,-30,-494.0
5328,華容,-30,-865.0
6127,九豪,-30,-1427.0
2845,遠東銀,-29,-365.0
00923,群益台ESG低碳50,-25,-725.0
,元大投資級公司債,-25,-836.0
1305,華夏,-21,-359.0
2890,永豐金,-20,-657.0
