code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,主動凱基台灣,420,0,420,394.3,9.39
,主動統一升級50,364,27,337,349.3,10.36
,群益臺灣加權正2,145,10,135,165.2,12.19
2327,國巨*,107,35,72,6378.3,887.99
,元大美債20正2,65,0,65,44.1,6.78
009816,凱基台灣TOP50,66,10,56,85.2,15.19
9949,琉園,55,0,55,170.7,31.04
2344,華邦電,82,28,54,967.3,177.46
3231,緯創,44,3,41,603.7,146.22
2889,國票金,41,0,41,64.7,15.73
,主動復華未來50,44,4,40,75.8,18.96
6005,群益證,36,0,36,132.5,36.76
2409,友達,127,97,30,86.3,28.74
,主動聯博全球非投,50,20,30,30.6,10.2
1305,華夏,30,0,30,39.6,13.2
6213,聯茂,44,14,30,1176.6,392.38
2317,鴻海,30,2,28,671.3,236.53
,主動富邦台灣龍耀,28,0,28,23.9,8.55
3481,群創,314,289,25,138.3,55.18
3693,營邦,34,10,24,1291.1,537.96
0050,元大台灣50,29,5,24,244.2,105.95
8040,九暘,30,7,23,218.2,94.86
1304,台聚,20,0,20,27.6,13.75
3092,鴻碩,20,0,20,61.8,30.91
4763,材料*-KY,26,6,20,96.7,48.61
8131,福懋科,297,2785,-2488,-18775.8,75.47
3508,位速,0,196,-196,-352.8,18.0
,主動統一台股增長,59,170,-111,-329.6,29.89
0056,元大高股息,10,104,-94,-494.4,52.62
3702,大聯大,0,91,-91,-977.4,107.53
,元大滬深300正2,0,75,-75,-155.5,20.74
3665,貿聯-KY,0,67,-67,-12346.6,1849.4
2382,廣達,5,63,-58,-2173.7,376.07
00918,大華優利高填息30,0,50,-50,-159.1,31.75
6414,樺漢,0,50,-50,-2000.2,400.03
6770,力積電,40,87,-47,-341.6,71.79
00919,群益台灣精選高息,1,44,-43,-127.6,29.8
3653,健策,0,41,-41,-12881.0,3157.97
2395,研華,0,40,-40,-2179.1,546.0
00878,國泰永續高股息,2,41,-39,-127.7,33.13
,元大台灣50正2,11,48,-37,-135.2,36.65
,中信中國50正2,0,36,-36,-32.5,9.02
7402,邑錡,2,38,-36,-483.9,134.42
2883,凱基金,1,36,-35,-108.7,30.84
3388,崇越電,0,32,-32,-252.1,78.89
,群益優選非投等債,0,30,-30,-29.2,9.72
2603,長榮,0,26,-26,-511.7,193.08
8033,雷虎,0,22,-22,-503.6,227.48
,元大台灣50反1,63,85,-22,-22.5,10.22
3033,威健,0,21,-21,-103.9,49.46
